# =========================================================================
#		  GRAMPA: MUL-tree reconciliation
#			09.05.2017 | 05:00:43
# LOG 05.00.43: Number of processes:                                       2
# LOG 05.00.55: The input species tree with internal nodes labeled:        ((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>
# LOG 05.00.55: Input species tree is:                                     Singly-labeled
# LOG 05.00.55: No H1 node defined                                         Searching all possible H1 nodes.
# LOG 05.00.55: No H2 node defined                                         Searching all possible H2 nodes.
# LOG 05.00.55: Using gene trees in file:                                  chelicerata-gt-final-notung.txt
# LOG 05.00.55: Total gene trees:                                          8678
# LOG 05.00.55: Main results and logs will be written to file:             grampa-05.00.43/grampa_out.txt
# LOG 05.00.55: The number of groups for each tree will be calculated:     grampa-05.00.43/grampa_checknums.txt
# LOG 05.00.55: Filtered trees will be saved (if necessary):               grampa-05.00.43/grampa_trees_filtered.txt
# LOG 05.00.55: Filtering gene trees with # of polyploid groups over:      8
# LOG 05.00.55: Detailed results will be written to file:                  grampa-05.00.43/grampa_det.txt
# LOG 05.00.55: Detailed output will contain:                              Reconciliation scores only
# LOG 05.15.22: Filtered trees:                                            443
# LOG 05.15.22: Final tree count for reconciliations:                      8235
# ---------
# Tree #	H1 node	H2 node	Tree string	Total score
ST		((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>	62584
MT-1	TURTI	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI+,TURTI*)<6>)<7>)<8>	66031
MT-2	TURTI	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,TURTI*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	69199
MT-3	TURTI	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,TURTI*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	72820
MT-4	TURTI	LRECL	((CSCUL,((LRECL,TURTI*)<1>,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	68603
MT-5	TURTI	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI,TURTI*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	72095
MT-6	TURTI	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI)<1>)<2>,TURTI*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	73096
MT-7	TURTI	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI)<1>,TURTI*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	73244
MT-8	TURTI	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI+)<6>)<7>,TURTI*)<8>	68884
MT-9	TURTI	CSCUL	(((CSCUL,TURTI*)<1>,(LRECL,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	71396
MT-10	TURTI	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,TURTI*)<5>,ISCAP)<6>,TURTI+)<7>)<8>	68043
MT-11	TURTI	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI+)<6>,TURTI*)<7>)<8>	71048
MT-12	TURTI	SMIMO	((CSCUL,(LRECL,((SMIMO,TURTI*)<1>,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	71292
MT-13	TURTI	<4>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,TURTI*)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	71806
MT-14	TURTI	<5>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI*)<6>,TURTI+)<7>)<8>	71048
MT-15	TURTI	ISCAP	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,(ISCAP,TURTI*)<5>)<6>,TURTI+)<7>)<8>	69417
MT-16	LHESP	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI,LHESP*)<6>)<7>)<8>	67322
MT-17	LHESP	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP+,LHESP*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	68500
MT-18	LHESP	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP+,PTEPI)<1>)<2>)<3>,LHESP*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71768
MT-19	LHESP	LRECL	((CSCUL,((LRECL,LHESP*)<1>,(SMIMO,(LHESP+,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	67875
MT-20	LHESP	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP+,(PTEPI,LHESP*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71431
MT-21	LHESP	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP+,PTEPI)<1>)<2>,LHESP*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71479
MT-22	LHESP	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP+,PTEPI)<1>,LHESP*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71431
MT-23	LHESP	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>,LHESP*)<8>	69745
MT-24	LHESP	CSCUL	(((CSCUL,LHESP*)<1>,(LRECL,(SMIMO,(LHESP+,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI)<7>)<8>	71132
MT-25	LHESP	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP+,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,LHESP*)<5>,ISCAP)<6>,TURTI)<7>)<8>	68072
