# =========================================================================
#		  GRAMPA: MUL-tree reconciliation
#			08.11.2017 | 10:19:13
# LOG 10.19.13: Number of processes:                                       11
# LOG 10.19.18: The input species tree with internal nodes labeled:        ((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>
# LOG 10.19.18: Input species tree is:                                     Singly-labeled
# LOG 10.19.18: No H1 node defined                                         Searching all possible H1 nodes.
# LOG 10.19.18: No H2 node defined                                         Searching all possible H2 nodes.
# LOG 10.19.18: Using gene trees in file:                                  /N/dc2/scratch/grthomas/i5k/chelicerata-all/chelicerata-all-grampa/chelicerata-gt-final.txt
# LOG 10.19.18: Total gene trees:                                          8678
# LOG 10.19.18: Main results and logs will be written to file:             chel-grampa-all/grampa_out.txt
# LOG 10.19.18: The number of groups for each tree will be calculated:     chel-grampa-all/grampa_checknums.txt
# LOG 10.19.18: Filtered trees will be saved (if necessary):               chel-grampa-all/grampa_trees_filtered.txt
# LOG 10.19.18: Filtering gene trees with # of polyploid groups over:      8
# LOG 10.19.18: Detailed results will be written to file:                  chel-grampa-all/grampa_det.txt
# LOG 10.19.18: Detailed output will contain:                              Reconciliation scores only
# LOG 10.26.15: Filtered trees:                                            659
# LOG 10.26.15: Final tree count for reconciliations:                      8019
# ---------
# Tree #	H1 node	H2 node	Tree string	Total score
ST		((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI)<6>)<7>	105581
MT-1	TURTI	TURTI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,(TURTI+,TURTI*)<6>)<7>)<8>	109049
MT-2	TURTI	LHESP	((CSCUL,(LRECL,(SMIMO,((LHESP,TURTI*)<1>,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	110314
MT-3	TURTI	<3>	((CSCUL,((LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>,TURTI*)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	113590
MT-4	TURTI	LRECL	((CSCUL,((LRECL,TURTI*)<1>,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	108413
MT-5	TURTI	PTEPI	((CSCUL,(LRECL,(SMIMO,(LHESP,(PTEPI,TURTI*)<1>)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	113149
MT-6	TURTI	<2>	((CSCUL,(LRECL,((SMIMO,(LHESP,PTEPI)<1>)<2>,TURTI*)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	114502
MT-7	TURTI	<1>	((CSCUL,(LRECL,(SMIMO,((LHESP,PTEPI)<1>,TURTI*)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	114851
MT-8	TURTI	<7>	(((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,((MOCCI,ISCAP)<5>,TURTI+)<6>)<7>,TURTI*)<8>	108097
MT-9	TURTI	CSCUL	(((CSCUL,TURTI*)<1>,(LRECL,(SMIMO,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	111141
MT-10	TURTI	MOCCI	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,TURTI*)<5>,ISCAP)<6>,TURTI+)<7>)<8>	110213
MT-11	TURTI	<6>	((CSCUL,(LRECL,(SMIMO,(LHESP,PTEPI)<1>)<2>)<3>)<4>,(((MOCCI,ISCAP)<5>,TURTI+)<6>,TURTI*)<7>)<8>	114859
MT-12	TURTI	SMIMO	((CSCUL,(LRECL,((SMIMO,TURTI*)<1>,(LHESP,PTEPI)<2>)<3>)<4>)<5>,((MOCCI,ISCAP)<6>,TURTI+)<7>)<8>	111786
