# GT/MT combo	# dups	# losses	Total score
GT-1 to MT-0	1	5	6
GT-2 to MT-0	6	2	8
GT-3 to MT-0	2	6	8
GT-4 to MT-0	3	4	7
GT-5 to MT-0	4	4	8
GT-6 to MT-0	1	5	6
GT-7 to MT-0	2	2	4
GT-8 to MT-0	1	4	5
GT-9 to MT-0	2	7	9
GT-10 to MT-0	5	4	9
GT-11 to MT-0	2	3	5
GT-12 to MT-0	1	2	3
GT-13 to MT-0	7	5	12
GT-14 to MT-0	5	7	12
GT-16 to MT-0	1	3	4
GT-17 to MT-0	1	4	5
GT-18 to MT-0	2	7	9
GT-19 to MT-0	2	6	8
GT-20 to MT-0	1	3	4
GT-21 to MT-0	2	0	2
GT-22 to MT-0	2	8	10
GT-24 to MT-0	2	7	9
GT-25 to MT-0	6	11	17
GT-26 to MT-0	5	3	8
GT-27 to MT-0	3	3	6
GT-28 to MT-0	4	15	19
GT-29 to MT-0	4	10	14
GT-30 to MT-0	2	5	7
GT-31 to MT-0	3	7	10
GT-32 to MT-0	5	5	10
GT-33 to MT-0	1	7	8
GT-35 to MT-0	1	2	3
GT-36 to MT-0	5	9	14
GT-37 to MT-0	2	7	9
GT-38 to MT-0	2	7	9
GT-39 to MT-0	0	4	4
GT-40 to MT-0	1	5	6
GT-41 to MT-0	3	7	10
GT-42 to MT-0	3	5	8
GT-43 to MT-0	1	3	4
GT-44 to MT-0	1	7	8
GT-45 to MT-0	0	3	3
GT-46 to MT-0	3	7	10
GT-47 to MT-0	6	8	14
GT-48 to MT-0	1	5	6
GT-49 to MT-0	0	2	2
GT-50 to MT-0	0	3	3
GT-51 to MT-0	4	10	14
GT-52 to MT-0	4	11	15
GT-53 to MT-0	0	3	3
GT-55 to MT-0	3	4	7
GT-56 to MT-0	1	4	5
GT-57 to MT-0	1	6	7
GT-58 to MT-0	1	3	4
GT-59 to MT-0	1	0	1
GT-60 to MT-0	1	2	3
GT-61 to MT-0	3	6	9
GT-62 to MT-0	7	7	14
GT-63 to MT-0	2	6	8
GT-65 to MT-0	5	11	16
GT-66 to MT-0	5	8	13
GT-67 to MT-0	1	4	5
GT-68 to MT-0	3	10	13
GT-69 to MT-0	5	10	15
GT-70 to MT-0	1	9	10
GT-72 to MT-0	5	10	15
GT-73 to MT-0	4	6	10
GT-74 to MT-0	2	10	12
GT-75 to MT-0	2	8	10
GT-76 to MT-0	0	0	0
GT-77 to MT-0	2	2	4
GT-78 to MT-0	3	6	9
GT-79 to MT-0	4	7	11
GT-80 to MT-0	6	7	13
GT-81 to MT-0	0	1	1
GT-82 to MT-0	1	6	7
GT-83 to MT-0	0	4	4
GT-84 to MT-0	1	4	5
GT-85 to MT-0	1	7	8
GT-86 to MT-0	3	3	6
GT-87 to MT-0	2	2	4
GT-88 to MT-0	0	2	2
GT-89 to MT-0	2	11	13
GT-90 to MT-0	2	5	7
GT-91 to MT-0	0	0	0
GT-92 to MT-0	3	6	9
GT-93 to MT-0	1	3	4
GT-95 to MT-0	0	5	5
GT-96 to MT-0	28	2	30
GT-97 to MT-0	1	2	3
GT-98 to MT-0	0	1	1
GT-99 to MT-0	1	6	7
GT-100 to MT-0	3	1	4
GT-101 to MT-0	2	4	6
GT-102 to MT-0	1	4	5
GT-103 to MT-0	0	4	4
GT-104 to MT-0	2	3	5
GT-105 to MT-0	2	4	6
GT-106 to MT-0	1	5	6
GT-107 to MT-0	1	8	9
GT-109 to MT-0	4	13	17
GT-110 to MT-0	5	8	13
GT-111 to MT-0	2	7	9
GT-112 to MT-0	4	4	8
GT-113 to MT-0	5	2	7
GT-114 to MT-0	3	8	11
GT-115 to MT-0	3	1	4
GT-116 to MT-0	1	2	3
GT-117 to MT-0	2	5	7
GT-118 to MT-0	1	3	4
GT-119 to MT-0	2	5	7
GT-120 to MT-0	2	10	12
GT-122 to MT-0	3	4	7
GT-123 to MT-0	1	1	2
GT-124 to MT-0	1	5	6
GT-125 to MT-0	1	1	2
GT-126 to MT-0	1	7	8
GT-127 to MT-0	4	5	9
GT-128 to MT-0	10	18	28
GT-129 to MT-0	1	1	2
GT-130 to MT-0	5	2	7
GT-131 to MT-0	5	4	9
GT-132 to MT-0	4	2	6
GT-133 to MT-0	6	6	12
GT-134 to MT-0	1	1	2
GT-135 to MT-0	3	5	8
GT-136 to MT-0	1	4	5
GT-137 to MT-0	1	2	3
GT-138 to MT-0	0	2	2
GT-139 to MT-0	0	3	3
GT-140 to MT-0	9	9	18
GT-141 to MT-0	3	3	6
GT-143 to MT-0	0	5	5
GT-144 to MT-0	5	3	8
GT-145 to MT-0	15	12	27
GT-146 to MT-0	0	3	3
GT-147 to MT-0	6	7	13
GT-148 to MT-0	1	7	8
GT-149 to MT-0	2	2	4
GT-150 to MT-0	3	7	10
GT-151 to MT-0	8	7	15
GT-152 to MT-0	1	6	7
GT-154 to MT-0	6	18	24
GT-155 to MT-0	0	2	2
GT-156 to MT-0	2	4	6
GT-157 to MT-0	0	3	3
GT-158 to MT-0	1	5	6
GT-159 to MT-0	1	5	6
GT-160 to MT-0	0	0	0
GT-161 to MT-0	0	3	3
GT-162 to MT-0	3	10	13
GT-163 to MT-0	5	5	10
GT-164 to MT-0	3	5	8
GT-165 to MT-0	0	3	3
GT-166 to MT-0	4	3	7
GT-167 to MT-0	2	6	8
GT-168 to MT-0	1	6	7
GT-169 to MT-0	1	5	6
GT-170 to MT-0	2	4	6
GT-171 to MT-0	7	1	8
GT-172 to MT-0	1	7	8
GT-173 to MT-0	2	4	6
GT-174 to MT-0	1	4	5
GT-175 to MT-0	6	7	13
GT-177 to MT-0	0	3	3
GT-178 to MT-0	1	2	3
GT-179 to MT-0	3	8	11
GT-180 to MT-0	19	4	23
GT-181 to MT-0	1	4	5
GT-182 to MT-0	0	3	3
GT-183 to MT-0	1	2	3
GT-184 to MT-0	10	13	23
GT-185 to MT-0	0	2	2
GT-186 to MT-0	2	8	10
GT-187 to MT-0	10	23	33
GT-188 to MT-0	0	3	3
GT-189 to MT-0	2	8	10
GT-190 to MT-0	1	4	5
GT-191 to MT-0	3	9	12
GT-192 to MT-0	2	7	9
GT-193 to MT-0	2	5	7
GT-194 to MT-0	6	2	8
GT-195 to MT-0	3	0	3
GT-197 to MT-0	2	6	8
GT-198 to MT-0	1	4	5
GT-199 to MT-0	2	3	5
GT-200 to MT-0	4	7	11
GT-201 to MT-0	2	4	6
GT-202 to MT-0	8	6	14
