# GT/MT combo	# dups	# losses	Total score	Maps
GT-1 to MT-0	3	11	14	(ISCAP-6945-00181b_ISCAP[ISCAP+-0],(MOCCI-34638-000a6b_MOCCI[MOCCI+-0],(CSCUL-CSCUL-006fbf_CSCUL[CSCUL+-0],(TURTI-32264-003b3b_TURTI[TURTI+-0],(LRECL-LRECL-00357f_LRECL[LRECL+-0],(SMIMO-407821-005717_SMIMO[SMIMO+-0],PTEPI-PTEPI-006ec3_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<3>+-0])<3>[<7>+-0])<4>[<7>+-1])<5>[<7>+-1])<6>[<7>+-1]
GT-2 to MT-0	6	11	17	((((TURTI-32264-001d2b_TURTI[TURTI+-0],TURTI-32264-001d28_TURTI[TURTI+-0])<1>[TURTI+-1],MOCCI-34638-003917_MOCCI[MOCCI+-0])<2>[<6>+-0],ISCAP-6945-001efb_ISCAP[ISCAP+-0])<3>[<6>+-1],(CSCUL-CSCUL-00281b_CSCUL[CSCUL+-0],(CSCUL-CSCUL-00281a_CSCUL[CSCUL+-0],(SMIMO-407821-004a7c_SMIMO[SMIMO+-0],((SMIMO-407821-004a7a_SMIMO[SMIMO+-0],(LRECL-LRECL-004427_LRECL[LRECL+-0],SMIMO-407821-002eed_SMIMO[SMIMO+-0])<4>[<3>+-0])<5>[<3>+-1],(LHESP-LHESP-000322_LHESP[LHESP+-0],PTEPI-PTEPI-003587_PTEPI[PTEPI+-0])<6>[<1>+-0])<7>[<3>+-1])<8>[<3>+-1])<9>[<4>+-0])<10>[<4>+-1])<11>[<7>+-0]
GT-3 to MT-0	0	3	3	(LRECL-LRECL-000ed9_LRECL[LRECL+-0],(LHESP-LHESP-0036a0_LHESP[LHESP+-0],PTEPI-PTEPI-003c53_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<3>+-0]
GT-4 to MT-0	0	5	5	((LRECL-LRECL-002d5a_LRECL[LRECL+-0],LHESP-LHESP-000d55_LHESP[LHESP+-0])<1>[<3>+-0],ISCAP-6945-004fb5_ISCAP[ISCAP+-0])<2>[<7>+-0]
GT-5 to MT-0	1	3	4	((ISCAP-6945-003628_ISCAP[ISCAP+-0],MOCCI-34638-002816_MOCCI[MOCCI+-0])<1>[<5>+-0],((LHESP-LHESP-002045_LHESP[LHESP+-0],(PTEPI-PTEPI-00647f_PTEPI[PTEPI+-0],PTEPI-PTEPI-006390_PTEPI[PTEPI+-0])<2>[PTEPI+-1])<3>[<1>+-0],SMIMO-407821-001719_SMIMO[SMIMO+-0])<4>[<2>+-0])<5>[<7>+-0]
GT-6 to MT-0	8	19	27	((TURTI-32264-00443c_TURTI[TURTI+-0],TURTI-32264-002de6_TURTI[TURTI+-0])<1>[TURTI+-1],((MOCCI-34638-00181e_MOCCI[MOCCI+-0],MOCCI-34638-00181d_MOCCI[MOCCI+-0])<2>[MOCCI+-1],(CSCUL-CSCUL-00217a_CSCUL[CSCUL+-0],(LRECL-LRECL-000667_LRECL[LRECL+-0],((LHESP-LHESP-000097_LHESP[LHESP+-0],(SMIMO-407821-001b5d_SMIMO[SMIMO+-0],SMIMO-407821-005cf7_SMIMO[SMIMO+-0])<3>[SMIMO+-1])<4>[<2>+-0],((PTEPI-PTEPI-004a25_PTEPI[PTEPI+-0],LHESP-LHESP-0012c6_LHESP[LHESP+-0])<5>[<1>+-0],ISCAP-6945-002d73_ISCAP[ISCAP+-0])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1])<9>[<7>+-1])<10>[<7>+-1])<11>[<7>+-1]
GT-7 to MT-0	2	10	12	((TURTI-32264-000fd9_TURTI[TURTI+-0],(CSCUL-CSCUL-004523_CSCUL[CSCUL+-0],ISCAP-6945-001c31_ISCAP[ISCAP+-0])<1>[<7>+-0])<2>[<7>+-1],PTEPI-PTEPI-00406a_PTEPI[PTEPI+-0])<3>[<7>+-1]
GT-8 to MT-0	4	9	13	((ISCAP-6945-001ed6_ISCAP[ISCAP+-0],(LRECL-LRECL-001cdf_LRECL[LRECL+-0],MOCCI-34638-0010e8_MOCCI[MOCCI+-0])<1>[<7>+-0])<2>[<7>+-1],((LRECL-LRECL-003615_LRECL[LRECL+-0],(SMIMO-407821-00572e_SMIMO[SMIMO+-0],((LHESP-LHESP-0000e2_LHESP[LHESP+-0],(PTEPI-PTEPI-002978_PTEPI[PTEPI+-0],PTEPI-PTEPI-006990_PTEPI[PTEPI+-0])<3>[PTEPI+-1])<4>[<1>+-0],SMIMO-407821-005765_SMIMO[SMIMO+-0])<5>[<2>+-0])<6>[<2>+-1])<7>[<3>+-0],CSCUL-CSCUL-00673e_CSCUL[CSCUL+-0])<8>[<4>+-0])<9>[<7>+-1]
GT-10 to MT-0	8	10	18	(ISCAP-6945-00346e_ISCAP[ISCAP+-0],(MOCCI-34638-001384_MOCCI[MOCCI+-0],((((TURTI-32264-0009f1_TURTI[TURTI+-0],TURTI-32264-00096f_TURTI[TURTI+-0])<1>[TURTI+-1],(TURTI-32264-0009f7_TURTI[TURTI+-0],TURTI-32264-0009fa_TURTI[TURTI+-0])<2>[TURTI+-1])<3>[TURTI+-1],(CSCUL-CSCUL-003471_CSCUL[CSCUL+-0],CSCUL-CSCUL-00005f_CSCUL[CSCUL+-0])<4>[CSCUL+-1])<5>[<7>+-0],((SMIMO-407821-00673b_SMIMO[SMIMO+-0],(LHESP-LHESP-002791_LHESP[LHESP+-0],PTEPI-PTEPI-001c63_PTEPI[PTEPI+-0])<6>[<1>+-0])<7>[<2>+-0],(CSCUL-CSCUL-001d01_CSCUL[CSCUL+-0],CSCUL-CSCUL-003703_CSCUL[CSCUL+-0])<8>[CSCUL+-1])<9>[<4>+-0])<10>[<7>+-1])<11>[<7>+-1])<12>[<7>+-1]
GT-11 to MT-0	5	2	7	(MOCCI-34638-000885_MOCCI[MOCCI+-0],(ISCAP-6945-001659_ISCAP[ISCAP+-0],((ISCAP-6945-001d77_ISCAP[ISCAP+-0],ISCAP-6945-003a1e_ISCAP[ISCAP+-0])<1>[ISCAP+-1],(ISCAP-6945-000df4_ISCAP[ISCAP+-0],(ISCAP-6945-001d9a_ISCAP[ISCAP+-0],ISCAP-6945-00405a_ISCAP[ISCAP+-0])<2>[ISCAP+-1])<3>[ISCAP+-1])<4>[ISCAP+-1])<5>[ISCAP+-1])<6>[<5>+-0]
